//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
//**Common Qlib,,,,,
Qlib_Connect_Phone_Fail,QLIB0000,ERR_QLIB_PHONE_CONNECT,Qlib 函数 Qlib_Connect_Phone 执行失败,Function Qlib_Connect_Phone execute fail,Y
Qlib_FTM_Do_ENH_XO_DC_Cal_Fail,QLIB0018,ERR_QLIB_FTM_DO_ENH_XO_DC_CAL,Qlib 函数 Qlib_FTM_Do_ENH_XO_DC_Cal 执行失败 (请冷却后重测),Function Qlib_FTM_Do_ENH_XO_DC_Cal execute fail,Y
Qlib_FTM_Do_ENH_XO_DC_Cal_V2_Fail,QLIB0019,ERR_QLIB_FTM_DO_ENH_XO_DC_CAL_V2,函数 Qlib_FTM_Do_ENH_XO_DC_Cal_V2 执行失败请冷却后重测,Function Qlib_FTM_Do_ENH_XO_DC_Cal_V2 execute fail,Y
Qlib_FTM_Do_ENH_XO_FT_Collect_Sample_Fail,QLIB0020,ERR_QLIB_FTM_DO_ENH_XO_FT_COLLECT_SAMPLE,Qlib 函数 Qlib_FTM_Do_ENH_XO_FT_Collect_Sample 执行失败,Function Qlib_FTM_Do_ENH_XO_FT_Collect_Sample execute fail,Y
Qlib_FTM_Do_ENH_XO_FT_Collect_Sample_V2_Fail,QLIB0021,ERR_QLIB_FTM_DO_ENH_XO_FT_COLLECT_SAMPLE_V2,Qlib 函数 Qlib_FTM_Do_ENH_XO_FT_Collect_Sample_V2 执行失败,Function Qlib_FTM_Do_ENH_XO_FT_Collect_Sample_V2 fail,Y
Qlib_FTM_Do_ENH_XO_FT_Curve_Cal_Fail,QLIB0022,ERR_QLIB_FTM_DO_ENH_XO_FT_CURVE_CAL,函数 Qlib_FTM_Do_ENH_XO_FT_Curve_Cal 执行失败 (请冷却后重测),Function Qlib_FTM_Do_ENH_XO_FT_Curve_Cal execute fail,Y
Qlib_FTM_Do_ENH_XO_FT_Curve_Cal_V2_Fail,QLIB0023,ERR_QLIB_FTM_DO_ENH_XO_FT_CURVE_CAL_V2,函数 Qlib_FTM_Do_ENH_XO_FT_Curve_Cal_V2 执行失败请冷却后重测,Function Qlib_FTM_Do_ENH_XO_FT_Curve_Cal_V2 execute fail,Y
Qlib_GetPhoneOperatingMode_Fail,QLIB0024,ERR_QLIB_GetPhoneOperatingMode,Qlib 函数 Qlib_GetPhoneOperatingMode 执行失败,Function Qlib_GetPhoneOperatingMode execute fail,Y
Qlib_FTM_Set_RF_Power_Mode_Fail,QLIB0025,ERR_QLIB_FTM_SET_RF_POWER_MODE,Qlib 函数 Qlib_FTM_Set_RF_Power_Mode 执行失败,Function Qlib_FTM_Set_RF_Power_Mode execute fail,Y
Qlib_ConnectServer_Fail,QLIB0026,ERR_QLIB_ConnectServer,Qlib 函数 Qlib_ConnectServer 执行失败,Function Qlib_ConnectServer execute fail,Y
Qlib_DisconnectServer_Fail,QLIB0027,ERR_QLIB_DisconnectServer,Qlib 函数 Qlib_DisconnectServer 执行失败,Function Qlib_DisconnectServer execute fail,Y
Qlib_Diag_NV_Read_F_Fail,QLIB0028,ERR_QLIB_DIAG_NV_READ_F,Qlib 函数 Qlib_Diag_NV_Read_F 执行失败,Function Qlib_Diag_NV_Read_F execute fail,Y
Qlib_FTM_Do_Self_Cal_Fail,QLIB0029,ERR_QLIB_FTM_DO_SELF_CAL,Qlib 函数 Qlib_FTM_Do_Self_Cal 执行失败,Function Qlib_FTM_Do_Self_Cal execute fail,Y
Qlib_FTM_CFG_And_Exec_Cal_Sweep_Fail,QLIB0030,ERR_QLIB_FTM_CFG_AND_EXEC_CAL_SWEEP,Qlib 函数 Qlib_FTM_CFG_And_Exec_Cal_Sweep 执行失败,Function Qlib_FTM_CFG_And_Exec_Cal_Sweep execute fail,Y
Qlib_FTM_Get_Cal_Sweep_Results,QLIB0031,ERR_QLIB_FTM_GET_CAL_SWEEP_RESULTS,Qlib 函数 Qlib_FTM_Get_Cal_Sweep_Results 执行失败,Function Qlib_FTM_Get_Cal_Sweep_Results execute fail,Y
QLib_Set_Tx_Bandwidth_Fail,QLIB0032,ERR_QLIB_SET_TX_BANDWIDTH,函数QLib_Set_Tx_Bandwidth 执行失败,Function QLib_Set_Tx_Bandwidth execute fail,Y
QLib_Set_Rx_Bandwidth_Fail,QLIB0033,ERR_QLIB_SET_RX_BANDWIDTH,函数QLib_Set_Rx_Bandwidth 执行失败,Function QLib_Set_Rx_Bandwidth execute fail,Y
QLib_Set_Tx_Modulation_Fail,QLIB0034,ERR_QLIB_SET_TX_MODULATION,函数QLib_Set_Tx_Modulation 执行失败,Function QLib_Set_Tx_Modulation execute fail,Y
Qlib_Set_Tx_Waveform_Fail,QLIB0035,ERR_QLIB_SET_TX_WAVEFORM,函数Qlib_Set_Tx_Waveform 执行失败,Function Qlib_Set_Tx_Waveform execute fail,Y
QLib_Set_Tx_Power_DBM_Fail,QLIB0036,ERR_QLIB_FTM_SET_TX_POWER_DBM,函数QLib_Set_Tx_Power_DBM 执行失败,Function QLib_Set_Tx_Power_DBM execute fail,Y
Qlib_FTM_Set_TX_Gain_Index_Fail,QLIB0037,ERR_QLIB_FTM_SET_TX_GAIN_INDEX,函数Qlib_FTM_Set_TX_Gain_Index 执行失败,Function Qlib_FTM_Set_TX_Gain_Index execute fail,Y
Qlib_FTM_Get_Rx_Level_DBM_Fail,QLIB0038,ERR_QLIB_FTM_GET_RX_LEVEL_DBM,函数Qlib_FTM_Get_Rx_Level_DBM 执行失败,Function Qlib_FTM_Get_Rx_Level_DBM fail,Y
Qlib_FTM_XO_Calibration_Fail,QLIB0039,ERR_QLIB_FTM_XO_CALIBRATION,Qlib 函数 Qlib_FTM_XO_Calibration 执行失败,Function Qlib_FTM_XO_Calibration execute fail,Y
Qlib_RSB_TXLO_Calibration_Fail,QLIB0040,ERR_QLIB_FTM_DO_RSB_TXLO_CAL,RSB_TXLO校正失败,RSB TXLO Calibration Fail,Y
Qlib_Read_RFFE_Device_Info_Fail,QLIB0041,ERR_QLIB_FTM_RFFE_READWRITE_CMD,读取RFFE装置资讯失败,Read RFFE Device Info Fail,Y
//**GSM Qlib,,,,,
Qlib_FTM_EGPRS_BER_AssignBCCH_Fail,QLIB1000,ERR_QLIB_FTM_EGPRS_BER_AssignBCCH,Qlib 函数 Qlib_FTM_EGPRS_BER_AssignBCCH 执行失败,Function Qlib_FTM_EGPRS_BER_AssignBCCH execute fail,Y
Qlib_FTM_EGPRS_BER_Configure_DL_TBF_Fail,QLIB1001,ERR_QLIB_FTM_EGPRS_BER_Configure_DL_TBF,Qlib 函数 Qlib_FTM_EGPRS_BER_Configure_DL_TBF 执行失败,Function Qlib_FTM_EGPRS_BER_Configure_DL_TBF execute fail,Y
Qlib_FTM_EGPRS_BER_Configure_UL_TBF_Fail,QLIB1002,ERR_QLIB_FTM_EGPRS_BER_Configure_UL_TBF,Qlib 函数 Qlib_FTM_EGPRS_BER_Configure_UL_TBF 执行失败,Function Qlib_FTM_EGPRS_BER_Configure_UL_TBF execute fail,Y
Qlib_FTM_EGPRS_BER_Establish_SRB_LOOPBACK_Fail,QLIB1003,ERR_QLIB_FTM_EGPRS_BER_Establish_SRB_LOOPBACK,Qlib 函数 Qlib_FTM_EGPRS_BER_Establish_SRB_LOOPBACK 执行失败,Function Qlib_FTM_EGPRS_BER_Establish_SRB_LOOPBACK fail,Y
Qlib_FTM_EGPRS_BER_Release_All_TBF_Fail,QLIB1004,ERR_QLIB_FTM_EGPRS_BER_Release_All_TBF,Qlib 函数 Qlib_FTM_EGPRS_BER_Release_All_TBF 执行失败,Function Qlib_FTM_EGPRS_BER_Release_All_TBF execute fail,Y
Qlib_FTM_GSM_BER_StartSession_Fail,QLIB1005,ERR_QLIB_FTM_GSM_BER_StartSession,Qlib 函数 Qlib_FTM_GSM_BER_StartSession 执行失败,Function Qlib_FTM_GSM_BER_StartSession execute fail,Y
Qlib_FTM_GSM_BER_AssignBCCH_Fail,QLIB1006,ERR_QLIB_FTM_GSM_BER_AssignBCCH,Qlib 函数 Qlib_FTM_GSM_BER_AssignBCCH 执行失败,Function Qlib_FTM_GSM_BER_AssignBCCH execute fail,Y
Qlib_FTM_GSM_BER_HandOver_Fail,QLIB1007,ERR_QLIB_FTM_GSM_BER_Handover,Qlib 函数 Qlib_FTM_GSM_BER_HandOver 执行失败,Function Qlib_FTM_GSM_BER_HandOver execute fail,Y
Qlib_FTM_GSM_BER_ClearStatus_Fail,QLIB1008,ERR_QLIB_FTM_GSM_BER_ClearStatus,Qlib 函数 Qlib_FTM_GSM_BER_ClearStatus 执行失败,Function Qlib_FTM_GSM_BER_ClearStatus execute fail,Y
Qlib_FTM_GSM_ConfigLoopbackType_Fail,QLIB1009,ERR_QLIB_FTM_GSM_ConfigLoopbackType,Qlib 函数 Qlib_FTM_GSM_ConfigLoopbackType 执行失败,Function Qlib_FTM_GSM_ConfigLoopbackType execute fail,Y
Qlib_FTM_Rx_Gain_Range_Cal_Fail,QLIB1010,ERR_QLIB_FTM_RX_GAIN_RANGE_CAL,Qlib 函数 Qlib_FTM_Rx_Gain_Range_Cal 执行失败,Function Qlib_FTM_Rx_Gain_Range_Cal execute fail,Y
Qlib_FTM_DA_Cal_Fail,QLIB1011,ERR_QLIB_FTM_DA_CAL,Qlib 函数 Qlib_FTM_DA_Cal 执行失败,Function Qlib_FTM_DA_Cal execute fail,Y
Qlib_FTM_Set_PA_DAC_Input_Fail,QLIB1012,ERR_QLIB_FTM_SET_PA_DAC_INPUT,Qlib 函数 Qlib_FTM_Set_PA_DAC_Input 执行失败,Function Qlib_FTM_Set_PA_DAC_Input execute fail,Y
Qlib_FTM_GSM_Do_Tx_Kv_Cal_Fail,QLIB1013,ERR_QLIB_FTM_GSM_DO_TX_KV_CAL,Qlib 函数 Qlib_FTM_GSM_Do_Tx_Kv_Cal 执行失败,Function Qlib_FTM_GSM_Do_Tx_Kv_Cal execute fail,Y
Qlib_FTM_Tx_CFG2_AMAM_Sweep_Fail,QLIB1014,ERR_QLIB_FTM_TX_CFG2_AMAM_SWEEP,Qlib 函数 Qlib_FTM_Tx_CFG2_AMAM_Sweep 执行失败,Function Qlib_FTM_Tx_CFG2_AMAM_Sweep execute fail,Y
Qlib_FTM_Set_Transmit_Burst_Fail,QLIB1015,ERR_QLIB_FTM_SET_TRANSMIT_BURST,Qlib 函数 Qlib_FTM_Set_Transmit_Burst 执行失败,Function Qlib_FTM_Set_Transmit_Burst execute fail,Y
Qlib_FTM_Set_Tx_Frame_Matrix_Fail,QLIB1016,ERR_QLIB_FTM_SET_TX_FRAME_MATRIX,Qlib 函数 Qlib_FTM_Set_Tx_Frame_Matrix 执行失败,Function Qlib_FTM_Set_Tx_Frame_Matrix execute fail,Y
Qlib_FTM_Set_Path_Delay_Fail,QLIB1017,ERR_QLIB_FTM_SET_PATH_DELAY,Qlib 函数 Qlib_FTM_Set_Path_Delay 执行失败,Function Qlib_FTM_Set_Path_Delay execute fail,Y
Qlib_FTM_GSM_BER_GetRxMetrics_Fail,QLIB1018,ERR_QLIB_FTM_GSM_BER_GetRxMetrics,Qlib 函数 Qlib_FTM_GSM_BER_GetRxMetrics 执行失败,Function Qlib_FTM_GSM_BER_GetRxMetrics execute fail,Y
Qlib_FTM_Set_Rx_Burst_Fail,QLIB1019,ERR_QLIB_FTM_SET_RX_BURST,Qlib 函数 Qlib_FTM_Set_Rx_Burst 执行失败,Function Qlib_FTM_Set_Rx_Burst execute fail,Y
Qlib_FTM_Set_GSM_Linear_PA_Range_Fail,QLIB1020,ERR_QLIB_FTM_SET_GSM_LINEAR_PA_RANGE,Qlib 函数 Qlib_FTM_Set_GSM_Linear_PA_Range 执行失败,Function Qlib_FTM_Set_GSM_Linear_PA_Range execute fail,Y
Qlib_RFCal_GSM_Cal_Arfcn_Fail,QLIB1021,ERR_QLIB_RFCAL_GSM_CAL_ARFCN,Qlib 函数 Qlib_RFCal_GSM_Cal_Arfcn 执行失败,Function Qlib_RFCal_GSM_Cal_Arfcn execute fail,Y
Qlib_RFCal_GSM_Tx_Linear_Process_Swapped_PreDist_Cal_Results_Fail,QLIB1022,ERR_QLIB_RFCAL_GSM_Tx_Linear_Process_Swapped_PreDist_Cal_Results,Qlib_RFCal_GSM_Tx_Linear_Process_Swapped_PreDist_Cal_Res失败,Qlib_RFCal_GSM_Tx_Linear_Process_Swapped_PreDist_Cal_Re fail,Y
Qlib_RFCAL_GSM_Rx_Gain_Range_Results_Fail,QLIB1023,ERR_QLIB_RFCAL_GSM_Rx_Gain_Range_Results,Qlib 函数 RFCAL_GSM_Rx_Gain_Range_Results 执行失败,Function RFCAL_GSM_Rx_Gain_Range_Results execute fail,Y
Qlib_FTM_GSM_API_ReadEnvGainNV_Fail,QLIB1024,ERR_QLIB_FTM_GSM_API_ReadEnvGainNV,函数 Qlib_FTM_GSM_API_ReadEnvGainNV 执行失败,Function Qlib_FTM_GSM_API_ReadEnvGainNV fail,Y
Qlib_RFCal_GSM_Tx_DA_Cal_IQ_Predist_Cal_Generate_NV_Fail,QLIB1025,ERR_QLIB_RFCal_GSM_Tx_DA_Cal_IQ_Predist_Cal_Generate_NV,函数 Qlib_RFCal_GSM_Tx_DA_Cal_IQ_Predist_Cal_Generate_NV失败,Qlib_RFCal_GSM_Tx_DA_Cal_IQ_Predist_Cal_Generate_NV fail,Y
Qlib_FTM_Tx_CS_Sweep_Fail,QLIB1026,ERR_QLIB_FTM_TX_CS_SWEEP,Qlib 函数 FTM_TX_CS_SWEEP 执行失败,Function FTM_Tx_CS_Sweep execute fail,Y
Qlib_FTM_GSM_Polar_Tx_Sweep_Cal_Fail,QLIB1027,ERR_QLIB_FTM_GSM_POLAR_TX_SWEEP_CAL,Qlib 函数 FTM_GSM_POLAR_TX_SWEEP_CAL 执行失败,Function FTM_GSM_POLAR_TX_SWEEP_CAL fail,Y
Qlib_GSM_Rx_Calibration_Generate_NV_Fail,QLIB1028,ERR_QLIB_GSM_RX_CALIBRATION_GENERATE_NV,Qlib 函数 Qlib_GSM_Rx_Calibration_Generate_NV 执行失败,Function Qlib_GSM_Rx_Calibration_Generate_NV execute fail,Y
Qlib_GSM_Rx_Level_Fail,QLIB1029,ERR_QLIB_GSM_RX_LEVEL,執行Qlib_GSM_Rx_Level失敗,Function Qlib_GSM_Rx_Level execute fail,Y
//**WCDMA Qlib,,,,,
Qlib_FTM_Get_Hdet_From_Tx_Sweep_Cal_Fail,QLIB2000,ERR_QLIB_FTM_GET_HDET_FROM_TX_SWEEP_CAL,Qlib 函数 Qlib_FTM_Get_Hdet_From_Tx_Sweep_Cal 执行失败,Function Qlib_FTM_Get_Hdet_From_Tx_Sweep_Cal execute fail,Y
Qlib_FTM_Set_Tx_Sweep_Step_Size_Fail,QLIB2001,ERR_QLIB_FTM_SET_TX_SWEEP_STEP_SIZE,Qlib 函数 Qlib_FTM_Set_Tx_Sweep_Step_Size 执行失败,Function Qlib_FTM_Set_Tx_Sweep_Step_Size execute fail,Y
Qlib_FTM_Configure_Tx_Sweep_Cal_Fail,QLIB2002,ERR_QLIB_FTM_CONFIGURE_TX_SWEEP_CAL,Qlib 函数 Qlib_FTM_Configure_Tx_Sweep_Cal 执行失败,Function Qlib_FTM_Configure_Tx_Sweep_Cal execute fail,Y
Qlib_FTM_Tx_Sweep_Cal_Fail,QLIB2003,ERR_QLIB_FTM_TX_SWEEP_CAL,Qlib 函数 Qlib_FTM_Tx_Sweep_Cal 执行失败,Function Qlib_FTM_Tx_Sweep_Cal execute fail,Y
Qlib_FTM_Tx_Rx_Freq_Cal_Sweep_Fail,QLIB2004,ERR_QLIB_FTM_TX_RX_FREQ_CAL_SWEEP,Qlib 函数 Qlib_FTM_Tx_Rx_Freq_Cal_Sweep 执行失败,Function Qlib_FTM_Tx_Rx_Freq_Cal_Sweep execute fail,Y
Qlib_FTM_Set_LNA_Range_Fail,QLIB2005,ERR_QLIB_FTM_SET_LNA_RANGE,Qlib 函数 Qlib_FTM_Set_LNA_Range 执行失败,Function Qlib_FTM_Set_LNA_Range execute fail,Y
Qlib_FTM_CDMA_CW_Waveform_Fail,QLIB2006,ERR_QLIB_FTM_CDMA_CW_WAVEFORM,Qlib 函数 Qlib_FTM_CDMA_CW_Waveform 执行失败,Function Qlib_FTM_CDMA_CW_Waveform execute fail,Y
Qlib_FTM_Set_PA_Range_Fail,QLIB2007,ERR_QLIB_FTM_SET_PA_RANGE,Qlib 函数 Qlib_FTM_Set_PA_Range 执行失败,Function Qlib_FTM_Set_PA_Range execute fail,Y
Qlib_FTM_Get_CDMA_Im2_Fail,QLIB2008,ERR_QLIB_FTM_GET_CDMA_IM2,Qlib 函数 Qlib_FTM_Get_CDMA_Im2 执行失败,Function Qlib_FTM_Get_CDMA_Im2 execute fail,Y
Qlib_FTM_WCDMA_BER_StopSession_Fail,QLIB2009,ERR_QLIB_FTM_WCDMA_BER_StopSession,Qlib 函数 Qlib_FTM_WCDMA_BER_StopSession 执行失败,Function Qlib_FTM_WCDMA_BER_StopSession execute fail,Y
Qlib_FTM_Do_DC_Cal_Fail,QLIB2010,ERR_QLIB_FTM_DO_DC_CAL,Qlib 函数 Qlib_FTM_Do_DC_Cal 执行失败,Function Qlib_FTM_Do_DC_Cal execute fail,Y
Qlib_FTM_WCDMA_BER_RMC_Dch_Tfcs_Config_Req_Fail,QLIB2011,ERR_QLIB_FTM_WCDMA_BER_RMC_DCH_TFCS_CONFIG_REQ,Qlib_FTM_WCDMA_BER_RMC_Dch_Tfcs_Config_Req 执行失败,Qlib_FTM_WCDMA_BER_RMC_Dch_Tfcs_Config_Req fail,Y
Qlib_FTM_WCDMA_BER_StartSession_Fail,QLIB2012,ERR_QLIB_FTM_WCDMA_BER_StartSession,Qlib 函数 Qlib_FTM_WCDMA_BER_StartSession 执行失败,Function Qlib_FTM_WCDMA_BER_StartSession execute fail,Y
Qlib_FTM_WCDMA_BER_AcquirePilot_Fail,QLIB2013,ERR_QLIB_FTM_WCDMA_BER_AcquirePilot,Qlib 函数 Qlib_FTM_WCDMA_BER_AcquirePilot 执行失败,Function Qlib_FTM_WCDMA_BER_AcquirePilot execute fail,Y
Qlib_FTM_WCDMA_BER_HandOver_Fail,QLIB2014,ERR_QLIB_FTM_WCDMA_BER_Handover,Qlib 函数 Qlib_FTM_WCDMA_BER_HandOver 执行失败,Function Qlib_FTM_WCDMA_BER_HandOver execute fail,Y
Qlib_FTM_Get_DVGA_Offset_Fail,QLIB2015,ERR_QLIB_FTM_GET_DVGA_OFFSET,Qlib 函数 Qlib_FTM_Get_DVGA_Offset 执行失败,Function Qlib_FTM_Get_DVGA_Offset execute fail,Y
Qlib_FTM_Set_Calibration_State_Fail,QLIB2016,ERR_QLIB_FTM_SET_CALIBRATION_STATE,Qlib 函数 Qlib_FTM_Set_Calibration_State 执行失败,Function Qlib_FTM_Set_Calibration_State execute fail,Y
Qlib_FTM_Set_Smps_PA_Bias_Val_Fail,QLIB2017,ERR_QLIB_FTM_SET_SMPS_PA_BIAS_VAL,Qlib 函数 Qlib_FTM_Set_Smps_PA_Bias_Val 执行失败,Function Qlib_FTM_Set_Smps_PA_Bias_Val execute fail,Y
Qlib_FTM_Set_Smps_PA_Bias_Override_Fail,QLIB2018,ERR_QLIB_FTM_SET_SMPS_PA_BIAS_OVERRIDE,Qlib 函数 Qlib_FTM_Set_Smps_PA_Bias_Override 执行失败,Function Qlib_FTM_Set_Smps_PA_Bias_Override execute fail,Y
Qlib_FTM_Load_Tx_Linearizer_Cal_Data_Fail,QLIB2019,ERR_QLIB_FTM_LOAD_TX_LINEARIZER_CAL_DATA,Qlib 函数 Qlib_FTM_Load_Tx_Linearizer_Cal_Data 执行失败,Function Qlib_FTM_Load_Tx_Linearizer_Cal_Data execute fail,Y
Qlib_FTM_Load_Tx_Freqcomp_Cal_Data_Fail,QLIB2020,ERR_QLIB_FTM_LOAD_TX_FREQCOMP_CAL_DATA,Qlib 函数 Qlib_FTM_Load_Tx_Freqcomp_Cal_Data 执行失败,Function Qlib_FTM_Load_Tx_Freqcomp_Cal_Data execute fail,Y
Qlib_FTM_Set_Tx_ENH_Cal_Action_Fail,QLIB2021,ERR_QLIB_FTM_SET_TX_ENH_CAL_ACTION,Qlib 函数 Qlib_FTM_Set_Tx_ENH_Cal_Action 执行失败,Function Qlib_FTM_Set_Tx_ENH_Cal_Action execute fail,Y
Qlib_FTM_WCDMA_AGC_Start_Log_Fail,QLIB2022,ERR_QLIB_FTM_WCDMA_AGC_Start_Log,Qlib 函数 Qlib_FTM_WCDMA_AGC_Start_Log 执行失败,Function Qlib_FTM_WCDMA_AGC_Start_Log execute fail,Y
Qlib_FTM_WCDMA_AGC_WaitForNextLog_Fail,QLIB2023,ERR_QLIB_FTM_WCDMA_AGC_WaitForNextLog,Qlib 函数 Qlib_FTM_WCDMA_AGC_WaitForNextLog 执行失败,Function Qlib_FTM_WCDMA_AGC_WaitForNextLog execute fail,Y
Qlib_FTM_WCDMA_AGC_Stop_Log,QLIB2024,ERR_QLIB_FTM_WCDMA_AGC_Stop_Log,Qlib 函数 Qlib_FTM_WCDMA_AGC_Stop_Log 执行失败,Function Qlib_FTM_WCDMA_AGC_Stop_Log execute fail,Y
Qlib_RFCal_WCDMA_MultiCarrier_RxCal_Results_Fail,QLIB2025,ERR_QLIB_RFCAL_WCDMA_MultiCarrier_RxCal_Results,Qlib_RFCal_WCDMA_MultiCarrier_RxCal_Results 执行失败,Qlib_RFCal_WCDMA_MultiCarrier_RxCal_Results execute fail,Y
Qlib_RFCal_Complete_TxRxCal_Fail,QLIB2026,ERR_QLIB_RFCAL_Complete_TxRxCal,Qlib 函数 Qlib_RFCal_Complete_TxRxCal 执行失败,Function Qlib_RFCal_Complete_TxRxCal execute fail,Y
//**CDMA Qlib,,,,,
Qlib_FTM_CDMA_Api2_Calibrate_DVGA_Fail,QLIB3000,ERR_QLIB_FTM_CDMA_API2_CALIBRATE_DVGA,Qlib 函数 Qlib_FTM_CDMA_Api2_Calibrate_DVGA 执行失败,Function Qlib_FTM_CDMA_Api2_Calibrate_DVGA execute fail,Y
Qlib_FTM_CDMA_Api2_Calibrate_Intelliceiver_Fail,QLIB3001,ERR_QLIB_FTM_CDMA_API2_CALIBRATE_INTELLICEIVER,Qlib_FTM_CDMA_Api2_Calibrate_Intelliceiver 执行失败,Qlib_FTM_CDMA_Api2_Calibrate_Intelliceiver execute fail,Y
Qlib_RFCAL_Rx_Intelliceiver_Cal_Results_Fail,QLIB3002,ERR_QLIB_RFCAL_Rx_Intelliceiver_Cal_Results,Qlib_RFCAL_Rx_Intelliceiver_Cal_Results 执行失败,Qlib_RFCAL_Rx_Intelliceiver_Cal_Results execute fail,Y
Qlib_FTM_CDMA2000_Cmd_Release_Fail,QLIB3003,ERR_QLIB_FTM_CDMA2000_CMD_RELEASE,Qlib 函数 Qlib_FTM_CDMA2000_Cmd_Release 执行失败,Function Qlib_FTM_CDMA2000_Cmd_Release execute fail,Y
Qlib_FTM_CDMA2000_NS_Start_Fail,QLIB3004,ERR_QLIB_FTM_CDMA2000_NS_Start,Qlib 函数 Qlib_FTM_CDMA2000_NS_Start 执行失败,Function Qlib_FTM_CDMA2000_NS_Start execute fail,Y
Qlib_FTM_CDMA2000_FTM_FWD_HHO_SC_Fail,QLIB3005,ERR_QLIB_FTM_CDMA2000_FTM_FWD_HHO_SC,Qlib 函数 Qlib_FTM_CDMA2000_FTM_FWD_HHO_SC 执行失败,Function Qlib_FTM_CDMA2000_FTM_FWD_HHO_SC execute fail,Y
